STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
2328,Sơn La,Gia Phù,"các xã Tường Phù, Suối Bau, Sập Xa và Gia Phù",Xã
2329,Sơn La,Tường Hạ,"các xã Tường Thượng, Tường Phong, Tường Tiến và Tường Hạ",Xã
2330,Sơn La,Mường Cơi,"các xã Mường Thải, Tân Lang và Mường Cơi",Xã
2331,Sơn La,Mường Bang,"các xã Mường Do, Mường Lang và Mường Bang",Xã
2332,Sơn La,Tân Phong,"các xã Bắc Phong, Nam Phong và Tân Phong",Xã
2333,Sơn La,Kim Bon,xã Đá Đỏ và xã Kim Bon,Xã
2334,Sơn La,Yên Châu,"thị trấn Yên Châu và các xã Chiềng Đông, Chiềng Sàng, Chiềng Pằn, Chiềng Khoi, Sặp Vạt",Xã
2335,Sơn La,Chiềng Hặc,"các xã Tú Nang, Mường Lựm và Chiềng Hặc",Xã
2336,Sơn La,Lóng Phiêng,xã Chiềng Tương và xã Lóng Phiêng,Xã
2337,Sơn La,Yên Sơn,xã Chiềng On và xã Yên Sơn,Xã
2338,Sơn La,Chiềng Mai,"các xã Chiềng Ban, Chiềng Kheo, Chiềng Dong, Chiềng Ve và Chiềng Mai",Xã
2339,Sơn La,Mai Sơn,"thị trấn Hát Lót, xã Hát Lót và xã Cò Nòi",Xã
2340,Sơn La,Phiêng Pằn,"các xã Nà Ớt, Chiềng Lương và Phiêng Pằn",Xã
2341,Sơn La,Chiềng Mung,"các xã Mường Bằng, Mường Bon và Chiềng Mung",Xã
2342,Sơn La,Phiêng Cằm,xã Chiềng Nơi và xã Phiêng Cằm,Xã
2343,Sơn La,Mường Chanh,xã Chiềng Chung (huyện Mai Sơn) và xã Mường Chanh,Xã
2344,Sơn La,Tà Hộc,xã Nà Bó và xã Tà Hộc,Xã
2345,Sơn La,Chiềng Sung,xã Chiềng Chăn và xã Chiềng Sung,Xã
2346,Sơn La,Bó Sinh,"các xã Pú Bẩu, Chiềng En và Bó Sinh",Xã
2347,Sơn La,Chiềng Khương,xã Mường Sai và xã Chiềng Khương,Xã
2348,Sơn La,Mường Hung,xã Chiềng Cang và xã Mường Hung,Xã
2349,Sơn La,Chiềng Khoong,xã Mường Cai và xã Chiềng Khoong,Xã
2350,Sơn La,Mường Lầm,xã Đứa Mòn và xã Mường Lầm,Xã
2351,Sơn La,Nậm Ty,xã Chiềng Phung và xã Nậm Ty,Xã
2352,Sơn La,Sông Mã,thị trấn Sông Mã và xã Nà Nghịu,Xã
2353,Sơn La,Huổi Một,xã Nậm Mằn và xã Huổi Một,Xã
2354,Sơn La,Chiềng Sơ,xã Yên Hưng và xã Chiềng Sơ,Xã
2355,Sơn La,Sốp Cộp,"các xã Mường Và, Nậm Lạnh và Sốp Cộp",Xã
2356,Sơn La,Púng Bánh,"các xã Dồm Cang, Sam Kha và Púng Bánh",Xã
2357,Sơn La,Tô Hiệu,"các phường Quyết Thắng, Quyết Tâm, Chiềng Lề và Tô Hiệu",Phường
2358,Sơn La,Chiềng An,"phường Chiềng An, xã Chiềng Xôm và xã Chiềng Đen",Phường
2359,Sơn La,Chiềng Cơi,"phường Chiềng Cơi, xã Hua La và xã Chiềng Cọ",Phường
2360,Sơn La,Chiềng Sinh,phường Chiềng Sinh và xã Chiềng Ngần,Phường
2361,Sơn La,Mộc Châu,"phường Mộc Lỵ, phường Mường Sang và xã Chiềng Hắc",Phường
2362,Sơn La,Mộc Sơn,phường Đông Sang và phường Mộc Sơn,Phường
2363,Sơn La,Vân Sơn,phường Bình Minh và phường Vân Sơn,Phường
2364,Sơn La,Thảo Nguyên,phường Cờ Đỏ và phường Thảo Nguyên,Phường
2365,Tây Ninh,Hưng Điền,"các xã Hưng Hà, Hưng Điền B và Hưng Điền",Xã
2366,Tây Ninh,Vĩnh Thạnh,"các xã Thạnh Hưng (huyện Tân Hưng), Vĩnh Châu B và Hưng Thạnh",Xã
2367,Tây Ninh,Tân Hưng,"thị trấn Tân Hưng, xã Vĩnh Thạnh và xã Vĩnh Lợi",Xã
2368,Tây Ninh,Vĩnh Châu,"các xã Vĩnh Đại, Vĩnh Bửu và Vĩnh Châu A",Xã
2369,Tây Ninh,Tuyên Bình,"xã Tuyên Bình, xã Tuyên Bình Tây và một phần diện tích tự nhiên, quy mô dân số của các xã Vĩnh Bình, Vĩnh Thuận, Thái Bình Trung",Xã
2370,Tây Ninh,Vĩnh Hưng,"thị trấn Vĩnh Hưng, một phần diện tích tự nhiên, quy mô dân số các xã Vĩnh Trị, Thái Trị, Khánh Hưng, Thái Bình Trung và phần còn lại của các xã Vĩnh Thuận, Vĩnh Bình sau khi sắp xếp theo quy định tại khoản 5 Điều này",Xã
2371,Tây Ninh,Khánh Hưng,"xã Hưng Điền A, phần còn lại của xã Thái Bình Trung sau khi sắp xếp theo quy định tại khoản 5 và khoản 6 Điều này và phần còn lại của các xã Vĩnh Trị, Thái Trị, Khánh Hưng sau khi sắp xếp theo quy định tại khoản 6 Điều này",Xã
2372,Tây Ninh,Tuyên Thạnh,"xã Thạnh Hưng (thị xã Kiến Tường), xã Tuyên Thạnh và một phần diện tích tự nhiên, quy mô dân số của xã Bắc Hòa",Xã
2373,Tây Ninh,Bình Hiệp,"các xã Thạnh Trị, Bình Tân, Bình Hòa Tây và Bình Hiệp",Xã
2374,Tây Ninh,Bình Hòa,"các xã Bình Thạnh (huyện Mộc Hóa), Bình Hòa Đông và Bình Hòa Trung",Xã
2375,Tây Ninh,Mộc Hóa,"xã Tân Thành và xã Tân Lập (huyện Mộc Hóa), thị trấn Bình Phong Thạnh",Xã
2376,Tây Ninh,Hậu Thạnh,"xã Hậu Thạnh Đông, xã Hậu Thạnh Tây và phần còn lại của xã Bắc Hòa sau khi sắp xếp theo quy định tại khoản 8 Điều này",Xã
2377,Tây Ninh,Nhơn Hòa Lập,"các xã Tân Lập (huyện Tân Thạnh), Nhơn Hòa và Nhơn Hòa Lập",Xã
2378,Tây Ninh,Nhơn Ninh,"các xã Tân Thành (huyện Tân Thạnh), Tân Ninh và Nhơn Ninh",Xã
2379,Tây Ninh,Tân Thạnh,"xã Tân Bình và xã Tân Hòa (huyện Tân Thạnh), xã Kiến Bình, thị trấn Tân Thạnh",Xã
2380,Tây Ninh,Bình Thành,"các xã Tân Hiệp (huyện Thạnh Hóa), Thuận Bình và Bình Hòa Hưng",Xã
2381,Tây Ninh,Thạnh Phước,"các xã Thuận Nghĩa Hòa, Thạnh Phú và Thạnh Phước",Xã
2382,Tây Ninh,Thạnh Hóa,"thị trấn Thạnh Hóa, xã Thủy Tây và xã Thạnh An",Xã
2383,Tây Ninh,Tân Tây,"các xã Tân Đông (huyện Thạnh Hóa), Thủy Đông và Tân Tây",Xã
2384,Tây Ninh,Thủ Thừa,"thị trấn Thủ Thừa, một phần diện tích tự nhiên, quy mô dân số của xã Bình Thạnh và xã Tân Thành (huyện Thủ Thừa), xã Nhị Thành",Xã
2385,Tây Ninh,Mỹ An,xã Mỹ Phú và xã Mỹ An,Xã
2386,Tây Ninh,Mỹ Thạnh,"các xã Bình An, Mỹ Lạc, Mỹ Thạnh và phần còn lại của xã Tân Thành (huyện Thủ Thừa) sau khi sắp xếp theo quy định tại khoản 20 Điều này",Xã
2387,Tây Ninh,Tân Long,"các xã Long Thuận (huyện Thủ Thừa), Long Thạnh và Tân Long",Xã
2388,Tây Ninh,Mỹ Quý,"các xã Mỹ Thạnh Bắc, Mỹ Quý Đông và Mỹ Quý Tây",Xã
2389,Tây Ninh,Đông Thành,"thị trấn Đông Thành và các xã Mỹ Thạnh Tây, Mỹ Thạnh Đông, Mỹ Bình",Xã
2390,Tây Ninh,Đức Huệ,"của các xã Bình Hòa Bắc, Bình Hòa Nam và Bình Thành",Xã
2391,Tây Ninh,An Ninh,"các xã Lộc Giang, An Ninh Đông và An Ninh Tây",Xã
2392,Tây Ninh,Hiệp Hòa,"xã Tân Phú (huyện Đức Hòa), xã Hiệp Hòa và thị trấn Hiệp Hòa",Xã
2393,Tây Ninh,Hậu Nghĩa,"thị trấn Hậu Nghĩa, xã Đức Lập Thượng và xã Tân Mỹ",Xã
2394,Tây Ninh,Hòa Khánh,"các xã Hòa Khánh Tây, Hòa Khánh Nam và Hòa Khánh Đông",Xã
2395,Tây Ninh,Đức Lập,"xã Đức Lập Hạ, xã Mỹ Hạnh Bắc và một phần diện tích tự nhiên, quy mô dân số của xã Đức Hòa Thượng",Xã
2396,Tây Ninh,Mỹ Hạnh,"xã Đức Hòa Đông, xã Mỹ Hạnh Nam và phần còn lại của xã Đức Hòa Thượng sau khi sắp xếp theo quy định tại khoản 31 Điều này",Xã
2397,Tây Ninh,Đức Hòa,"thị trấn Đức Hòa, xã Hựu Thạnh và xã Đức Hòa Hạ",Xã
2398,Tây Ninh,Thạnh Lợi,"các xã Thạnh Hòa, Lương Bình và Thạnh Lợi",Xã
2399,Tây Ninh,Bình Đức,"các xã Thạnh Đức (huyện Bến Lức), Nhựt Chánh và Bình Đức",Xã
2400,Tây Ninh,Lương Hòa,xã Tân Bửu và xã Lương Hòa,Xã
2401,Tây Ninh,Bến Lức,"xã An Thạnh (huyện Bến Lức), xã Thanh Phú và thị trấn Bến Lức",Xã
2402,Tây Ninh,Mỹ Yên,"các xã Long Hiệp, Phước Lợi và Mỹ Yên",Xã
2403,Tây Ninh,Long Cang,"các xã Long Định, Phước Vân và Long Cang",Xã
2404,Tây Ninh,Rạch Kiến,"các xã Long Trạch, Long Khê và Long Hòa",Xã
2405,Tây Ninh,Mỹ Lệ,"các xã Tân Trạch, Long Sơn và Mỹ Lệ",Xã
2406,Tây Ninh,Tân Lân,xã Phước Đông (huyện Cần Đước) và xã Tân Lân,Xã
2407,Tây Ninh,Cần Đước,"thị trấn Cần Đước và các xã Phước Tuy, Tân Ân, Tân Chánh",Xã
2408,Tây Ninh,Phước Lý,"các xã Long Thượng, Phước Hậu và Phước Lý",Xã
2409,Tây Ninh,Mỹ Lộc,"các xã Phước Lâm, Thuận Thành và Mỹ Lộc",Xã
2410,Tây Ninh,Cần Giuộc,"thị trấn Cần Giuộc, xã Phước Lại và xã Long Hậu",Xã
2411,Tây Ninh,Phước Vĩnh Tây,"các xã Long An, Long Phụng và Phước Vĩnh Tây",Xã
2412,Tây Ninh,Tân Tập,"các xã Đông Thạnh, Phước Vĩnh Đông và Tân Tập",Xã
2413,Tây Ninh,Vàm Cỏ,"các xã Tân Phước Tây, Nhựt Ninh và Đức Tân",Xã
2414,Tây Ninh,Tân Trụ,"thị trấn Tân Trụ và các xã Bình Trinh Đông, Bình Lãng, Bình Tịnh",Xã
2415,Tây Ninh,Nhựt Tảo,"các xã Tân Bình (huyện Tân Trụ), Quê Mỹ Thạnh, Lạc Tấn và phần còn lại của xã Nhị Thành sau khi sắp xếp theo quy định tại khoản 20 Điều này",Xã
2416,Tây Ninh,Thuận Mỹ,"các xã Thanh Phú Long, Thanh Vĩnh Đông và Thuận Mỹ",Xã
2417,Tây Ninh,An Lục Long,"các xã Dương Xuân Hội, Long Trì và An Lục Long",Xã
2418,Tây Ninh,Tầm Vu,"thị trấn Tầm Vu và các xã Hiệp Thạnh (huyện Châu Thành), Phú Ngãi Trị, Phước Tân Hưng",Xã
2419,Tây Ninh,Vĩnh Công,"các xã Hòa Phú, Bình Quới và Vĩnh Công",Xã
2420,Tây Ninh,Phước Chỉ,xã Phước Bình và xã Phước Chỉ,Xã
2421,Tây Ninh,Hưng Thuận,xã Đôn Thuận và xã Hưng Thuận,Xã
2422,Tây Ninh,Thạnh Đức,xã Thạnh Đức (huyện Gò Dầu) và xã Cẩm Giang,Xã
2423,Tây Ninh,Phước Thạnh,"các xã Hiệp Thạnh (huyện Gò Dầu), Phước Trạch và Phước Thạnh",Xã
2424,Tây Ninh,Truông Mít,xã Bàu Đồn và xã Truông Mít,Xã
2425,Tây Ninh,Lộc Ninh,"xã Bến Củi, xã Lộc Ninh và một phần diện tích tự nhiên, quy mô dân số của xã Phước Minh",Xã
2426,Tây Ninh,Cầu Khởi,"xã Phước Ninh, xã Cầu Khởi và một phần diện tích tự nhiên, quy mô dân số của xã Chà Là",Xã
2427,Tây Ninh,Dương Minh Châu,"thị trấn Dương Minh Châu, một phần diện tích tự nhiên, quy mô dân số của xã Phan, xã Suối Đá và phần còn lại của xã Phước Minh sau khi sắp xếp theo quy định tại khoản 62 Điều này",Xã
2428,Tây Ninh,Tân Đông,xã Tân Đông (huyện Tân Châu) và xã Tân Hà,Xã
2429,Tây Ninh,Tân Châu,"thị trấn Tân Châu, xã Thạnh Đông và một phần diện tích tự nhiên, quy mô dân số của xã Tân Phú (huyện Tân Châu), xã Suối Dây",Xã
2430,Tây Ninh,Tân Phú,"xã Tân Hưng và một phần diện tích tự nhiên, quy mô dân số của các xã Mỏ Công, Trà Vong, Tân Phong và phần còn lại của xã Tân Phú (huyện Tân Châu) sau khi sắp xếp theo quy định tại khoản 66 Điều này",Xã
2431,Tây Ninh,Tân Hội,xã Tân Hiệp (huyện Tân Châu) và xã Tân Hội,Xã
2432,Tây Ninh,Tân Thành,xã Tân Thành (huyện Tân Châu) và phần còn lại của xã Suối Dây sau khi sắp xếp theo quy định tại khoản 66 Điều này,Xã
2433,Tây Ninh,Tân Hòa,xã Tân Hòa (huyện Tân Châu) và xã Suối Ngô,Xã
2434,Tây Ninh,Tân Lập,xã Tân Lập (huyện Tân Biên) và xã Thạnh Bắc,Xã
2435,Tây Ninh,Tân Biên,"xã Tân Bình (huyện Tân Biên), xã Thạnh Tây và thị trấn Tân Biên",Xã
2436,Tây Ninh,Thạnh Bình,xã Thạnh Bình và phần còn lại của xã Tân Phong sau khi sắp xếp theo quy định tại khoản 67 Điều này,Xã
2437,Tây Ninh,Trà Vong,,Xã
2438,Tây Ninh,Phước Vinh,xã Hòa Hiệp và xã Phước Vinh,Xã
2439,Tây Ninh,Hòa Hội,"các xã Biên Giới, Hòa Thạnh và Hòa Hội",Xã
2440,Tây Ninh,Ninh Điền,xã Thành Long và xã Ninh Điền,Xã
2441,Tây Ninh,Châu Thành,"thị trấn Châu Thành, xã Đồng Khởi, xã An Bình và một phần diện tích tự nhiên, quy mô dân số của xã Thái Bình",Xã
2442,Tây Ninh,Hảo Đước,"các xã An Cơ, Trí Bình và Hảo Đước",Xã
2443,Tây Ninh,Long Chữ,"các xã Long Vĩnh, Long Phước và Long Chữ",Xã
2444,Tây Ninh,Long Thuận,"các xã Long Thuận (huyện Bến Cầu), Long Giang và Long Khánh",Xã
2445,Tây Ninh,Bến Cầu,"thị trấn Bến Cầu và các xã An Thạnh (huyện Bến Cầu), Tiên Thuận, Lợi Thuận",Xã
2446,Tây Ninh,Kiến Tường,"Phường 1, Phường 2 và Phường 3 (thị xã Kiến Tường)",Phường
2447,Tây Ninh,Long An,"Phường 1 và Phường 3 (thành phố Tân An), Phường 4, Phường 5, Phường 6, xã Hướng Thọ Phú, phần còn lại của xã Bình Thạnh (huyện Thủ Thừa) sau khi sắp xếp theo quy định tại khoản 20 Điều này",Phường
2448,Tây Ninh,Tân An,"Phường 7 và các xã Bình Tâm, Nhơn Thạnh Trung, An Vĩnh Ngãi",Phường
2449,Tây Ninh,Khánh Hậu,"phường Tân Khánh, phường Khánh Hậu và xã Lợi Bình Nhơn",Phường
2450,Tây Ninh,Tân Ninh,"Phường 1, Phường 2 và Phường 3 (thành phố Tây Ninh), Phường IV, phường Hiệp Ninh, phần còn lại của xã Thái Bình sau khi sắp xếp theo quy định tại khoản 78 Điều này",Phường
2451,Tây Ninh,Bình Minh,"phường Ninh Sơn, các xã Tân Bình (thành phố Tây Ninh), Bình Minh, Thạnh Tân và phần còn lại của xã Suối Đá, xã Phan sau khi sắp xếp theo quy định tại khoản 64 Điều này",Phường
2452,Tây Ninh,Ninh Thạnh,"phường Ninh Thạnh, xã Bàu Năng và phần còn lại của xã Chà Là sau khi sắp xếp theo quy định tại khoản 63 Điều này",Phường
2453,Tây Ninh,Long Hoa,"phường Long Thành Bắc, phường Long Hoa và các xã Trường Hòa, Trường Tây, Trường Đông",Phường
2454,Tây Ninh,Hòa Thành,,Phường
2455,Tây Ninh,Thanh Điền,phường Hiệp Tân và xã Thanh Điền,Phường
2456,Tây Ninh,Trảng Bàng,phường An Hòa và phường Trảng Bàng,Phường
2457,Tây Ninh,An Tịnh,phường Lộc Hưng và phường An Tịnh,Phường
2458,Tây Ninh,Gò Dầu,"phường Gia Bình, thị trấn Gò Dầu và xã Thanh Phước",Phường
2459,Tây Ninh,Gia Lộc,xã Phước Đông (huyện Gò Dầu) và phường Gia Lộc,Phường
2460,Thái Nguyên,Tân Cương,"các xã Thịnh Đức, Bình Sơn và Tân Cương",Xã
2461,Thái Nguyên,Đại Phúc,"thị trấn Hùng Sơn và các xã Phúc Xuân, Phúc Trìu, Tân Thái, Phúc Tân",Xã
2462,Thái Nguyên,Thành Công,xã Vạn Phái và xã Thành Công,Xã
2463,Thái Nguyên,Định Hóa,"thị trấn Chợ Chuvà các xã Phúc Chu, Bảo Linh, Đồng Thịnh",Xã
2464,Thái Nguyên,Bình Yên,"các xã Trung Lương, Định Biên, Thanh Định và Bình Yên",Xã
2465,Thái Nguyên,Trung Hội,"các xã Phú Tiến, Bộc Nhiêu và Trung Hội",Xã
2466,Thái Nguyên,Phượng Tiến,"các xã Tân Dương, Tân Thịnh và Phượng Tiến",Xã
2467,Thái Nguyên,Phú Đình,xã Điềm Mặc và xã Phú Đình,Xã
2468,Thái Nguyên,Kim Phượng,xã Quy Kỳ và xã Kim Phượng,Xã
2469,Thái Nguyên,Lam Vỹ,xã Linh Thông và xã Lam Vỹ,Xã
2470,Thái Nguyên,Võ Nhai,"thị trấn Đình Cả, xã Phú Thượng và xã Lâu Thượng",Xã
2471,Thái Nguyên,Dân Tiến,"các xã Bình Long, Phương Giao và Dân Tiến",Xã
2472,Thái Nguyên,Nghinh Tường,xã Vũ Chấn và xã Nghinh Tường,Xã
2473,Thái Nguyên,Thần Sa,xã Thượng Nung và xã Thần Xa,Xã
2474,Thái Nguyên,La Hiên,xã Cúc Đường và xã La Hiên,Xã
2475,Thái Nguyên,Tràng Xá,xã Liên Minh và xã Tràng Xá,Xã
2476,Thái Nguyên,Phú Lương,"thị trấn Đu, thị trấn Giang Tiên, xã Yên Lạc và xã Động Đạt",Xã
2477,Thái Nguyên,Vô Tranh,"các xã Tức Tranh, Cổ Lũng, Phú Đô và Vô Tranh",Xã
2478,Thái Nguyên,Yên Trạch,"các xã Yên Ninh, Yên Đổ và Yên Trạch",Xã
2479,Thái Nguyên,Hợp Thành,"các xã Ôn Lương, Phủ Lý và Hợp Thành",Xã
2480,Thái Nguyên,Đồng Hỷ,"thị trấn Hóa Thượng, thị trấn Sông Cầu, xã Minh Lập và xã Hóa Trung",Xã
2481,Thái Nguyên,Quang Sơn,xã Tân Long và xã Quang Sơn,Xã
2482,Thái Nguyên,Trại Cau,thị trấn Trại Cau và xã Hợp Tiến,Xã
2483,Thái Nguyên,Nam Hòa,xã Cây Thị và xã Nam Hòa,Xã
2484,Thái Nguyên,Văn Hán,xã Khe Mo và xã Văn Hán,Xã
2485,Thái Nguyên,Văn Lăng,xã Hòa Bình và xã Văn Lăng,Xã
2486,Thái Nguyên,Đại Từ,"các xã Bình Thuận, Khôi Kỳ, Mỹ Yên và Lục Ba",Xã
2487,Thái Nguyên,Đức Lương,"các xã Minh Tiến, Phúc Lương và Đức Lương",Xã
2488,Thái Nguyên,Phú Thịnh,"các xã Bản Ngoại, Phú Cường và Phú Thịnh",Xã
2489,Thái Nguyên,La Bằng,"các xã Hoàng Nông, Tiên Hội và La Bằng",Xã
2490,Thái Nguyên,Phú Lạc,"các xã Phục Linh, Tân Linh và Phú Lạc",Xã
2491,Thái Nguyên,An Khánh,"các xã Cù Vân, Hà Thượng và An Khánh",Xã
2492,Thái Nguyên,Quân Chu,thị trấn Quân Chu và xã Cát Nê,Xã
2493,Thái Nguyên,Vạn Phú,xã Văn Yên và xã Vạn Phú,Xã
2494,Thái Nguyên,Phú Xuyên,xã Yên Lãng và xã Phú Xuyên,Xã
2495,Thái Nguyên,Phú Bình,"thị trấn Hương Sơn, các xã Xuân Phương, Úc Kỳ, Nhã Lộng, Bảo Lý và một phần diện tích tự nhiên, quy mô dân số của xã Thượng Đình",Xã
2496,Thái Nguyên,Tân Thành,"các xã Tân Hòa, Tân Kim và Tân Thành",Xã
2497,Thái Nguyên,Điềm Thụy,,Xã
2498,Thái Nguyên,Kha Sơn,"các xã Lương Phú, Tân Đức, Thanh Ninh, Dương Thành và Kha Sơn",Xã
2499,Thái Nguyên,Tân Khánh,"các xã Bàn Đạt, Đào Xá và Tân Khánh",Xã
2500,Thái Nguyên,Bằng Thành,"các xã Bộc Bố, Nhạn Môn, Giáo Hiệu và Bằng Thành",Xã
2501,Thái Nguyên,Nghiên Loan,"các xã Xuân La, An Thắng và Nghiên Loan",Xã
2502,Thái Nguyên,Cao Minh,"các xã Công Bằng, Cổ Linh và Cao Tân",Xã
2503,Thái Nguyên,Ba Bể,"các xã Cao Thượng, Nam Mẫu và Khang Ninh",Xã
2504,Thái Nguyên,Chợ Rã,"thị trấn Chợ Rã, xã Thượng Giáo và xã Địa Linh",Xã
2505,Thái Nguyên,Phúc Lộc,"các xã Bành Trạch, Hà Hiệu và Phúc Lộc",Xã
2506,Thái Nguyên,Thượng Minh,"các xã Yến Dương, Chu Hương và Mỹ Phương",Xã
2507,Thái Nguyên,Đồng Phúc,"các xã Quảng Khê, Hoàng Trĩ, Bằng Phúc và Đồng Phúc",Xã
2508,Thái Nguyên,Bằng Vân,xã Thượng Ân và xã Bằng Vân,Xã
2509,Thái Nguyên,Ngân Sơn,"thị trấn Vân Tùng, xã Cốc Đán và xã Đức Vân",Xã
2510,Thái Nguyên,Nà Phặc,thị trấn Nà Phặc vàxã Trung Hòa,Xã
2511,Thái Nguyên,Hiệp Lực,xã Thuần Mang và xã Hiệp Lực,Xã
2512,Thái Nguyên,Nam Cường,"các xã Xuân Lạc, Đồng Lạc và Nam Cường",Xã
2513,Thái Nguyên,Quảng Bạch,xã Tân Lập và xã Quảng Bạch,Xã
2514,Thái Nguyên,Yên Thịnh,"các xã Bản Thi, Yên Thượng và Yên Thịnh",Xã
2515,Thái Nguyên,Chợ Đồn,"thị trấn Bằng Lũng và các xã Ngọc Phái, Phương Viên,Bằng Lãng",Xã
2516,Thái Nguyên,Yên Phong,"các xã Đại Sảo, Yên Mỹ và Yên Phong",Xã
2517,Thái Nguyên,Nghĩa Tá,"các xã Lương Bằng, Bình Trung và Nghĩa Tá",Xã
2518,Thái Nguyên,Phủ Thông,"thị trấn Phủ Thông và các xã Vi Hương, Tân Tú, Lục Bình",Xã
2519,Thái Nguyên,Cẩm Giàng,"các xã Quân Hà, Nguyên Phúc, Mỹ Thanh và Cẩm Giàng",Xã
2520,Thái Nguyên,Vĩnh Thông,"các xã Sỹ Bình, Vũ Muộn và Cao Sơn",Xã
2521,Thái Nguyên,Bạch Thông,"các xã Đồng Thắng, Dương Phong và Quang Thuận",Xã
2522,Thái Nguyên,Phong Quang,xã Dương Quang và xã Đôn Phong,Xã
2523,Thái Nguyên,Văn Lang,"các xã Kim Hỷ, Lương Thượng và Văn Lang",Xã
2524,Thái Nguyên,Cường Lợi,xã Văn Vũ và xã Cường Lợi,Xã
2525,Thái Nguyên,Na Rì,"thị trấn Yến Lạc, xã Sơn Thành và xã Kim Lư",Xã
2526,Thái Nguyên,Trần Phú,"các xã Văn Minh, Cư Lễ và Trần Phú",Xã
2527,Thái Nguyên,Côn Minh,,Xã
2528,Thái Nguyên,Xuân Dương,"các xã Đổng Xá, Liêm Thủy và Xuân Dương",Xã
2529,Thái Nguyên,Tân Kỳ,"các xã Tân Sơn, Cao Kỳ và Hòa Mục",Xã
2530,Thái Nguyên,Thanh Mai,"các xã Thanh Vận, Mai Lạp và Thanh Mai",Xã
2531,Thái Nguyên,Thanh Thịnh,xã Nông Hạ và xã Thanh Thịnh,Xã
2532,Thái Nguyên,Chợ Mới,,Xã
2533,Thái Nguyên,Yên Bình,"các xã Yên Cư, Bình Văn và Yên Hân",Xã
2534,Thái Nguyên,Phan Đình Phùng,,Phường
2535,Thái Nguyên,Linh Sơn,,Phường
2536,Thái Nguyên,Tích Lương,"các phường Trung Thành (thành phố Thái Nguyên), Phú Xá,Tân Thành, Tân Lập, Tích Lương vàmột phần diện tích tự nhiên, quy mô dân số phường Cam Giá",Phường
2537,Thái Nguyên,Gia Sàng,,Phường
2538,Thái Nguyên,Quyết Thắng,"phường Thịnh Đán, xã Phúc Hà và xã Quyết Thắng",Phường
2539,Thái Nguyên,Quan Triều,"các phường Tân Long, Quang Vinh,Quan Triều và xã Sơn Cẩm",Phường
2540,Thái Nguyên,Sông Công,"các phường Thắng Lợi, Phố Cò và Cải Đan",Phường
2541,Thái Nguyên,Bá Xuyên,,Phường
2542,Thái Nguyên,Bách Quang,,Phường
2543,Thái Nguyên,Phổ Yên,"các phường Ba Hàng, Hồng Tiến, Bãi Bông và Đắc Sơn",Phường
2544,Thái Nguyên,Vạn Xuân,"các phường Nam Tiến, Đồng Tiến, Tân Hương và Tiên Phong",Phường
2545,Thái Nguyên,Trung Thành,,Phường
2546,Thái Nguyên,Phúc Thuận,"phường Bắc Sơn, xã Minh Đức và xã Phúc Thuận",Phường
2547,Thái Nguyên,Đức Xuân,"các phường Nguyễn Thị Minh Khai, Huyền Tụng và Đức Xuân",Phường
2548,Thái Nguyên,Bắc Kạn,"các phường Sông Cầu, Phùng Chí Kiên, Xuất Hóa và xã Nông Thượng",Phường
2549,Thanh Hóa,Các Sơn,xã Anh Sơn và xã Các Sơn,Xã
2550,Thanh Hóa,Trường Lâm,xã Tân Trường và xã Trường Lâm,Xã
2551,Thanh Hóa,Hà Trung,"các xã Hà Đông, Hà Ngọc, Yến Sơn và một phần diện tích tự nhiên, quy mô dân số của thị trấn Hà Trung, xã Hà Bình",Xã
2552,Thanh Hóa,Tống Sơn,"thị trấn Hà Lĩnh và các xã Hà Tiến, Hà Tân, Hà Sơn",Xã
2553,Thanh Hóa,Hà Long,"thị trấn Hà Long, xã Hà Bắc và xã Hà Giang",Xã
2554,Thanh Hóa,Hoạt Giang,"xã Yên Dương, xã Hoạt Giang và phần còn lại của thị trấn Hà Trung, xã Hà Bình sau khi sắp xếp theo quy định tại khoản 3 Điều này",Xã
2555,Thanh Hóa,Lĩnh Toại,"các xã Hà Hải, Hà Châu, Thái Lai và Lĩnh Toại",Xã
2556,Thanh Hóa,Triệu Lộc,"các xã Đại Lộc, Tiến Lộc và Triệu Lộc",Xã
2557,Thanh Hóa,Đông Thành,"các xã Đồng Lộc, Thành Lộc, Cầu Lộc và Tuy Lộc",Xã
2558,Thanh Hóa,Hậu Lộc,"thị trấn Hậu Lộc và các xã Thuần Lộc, Mỹ Lộc, Lộc Sơn",Xã
2559,Thanh Hóa,Hoa Lộc,"các xã Xuân Lộc (huyện Hậu Lộc), Liên Lộc, Quang Lộc, Phú Lộc, Hòa Lộc và Hoa Lộc",Xã
2560,Thanh Hóa,Vạn Lộc,"các xã Minh Lộc, Hải Lộc, Hưng Lộc, Ngư Lộc và Đa Lộc",Xã
2561,Thanh Hóa,Nga Sơn,"thị trấn Nga Sơn và các xã Nga Yên, Nga Thanh, Nga Hiệp, Nga Thủy",Xã
2562,Thanh Hóa,Nga Thắng,"các xã Nga Văn, Nga Phượng, Nga Thạch và Nga Thắng",Xã
2563,Thanh Hóa,Hồ Vương,"các xã Nga Hải, Nga Thành, Nga Giáp và Nga Liên",Xã
2564,Thanh Hóa,Tân Tiến,"các xã Nga Tiến, Nga Tân và Nga Thái",Xã
