STT,Tinh_Thanh,Ten_Xa_Moi,Cac_Xa_Cu_Sap_Nhap,Loai_Don_Vi
157,Bắc Ninh,Đồng Việt,"các xã Đức Giang, Đồng Phúc và Đồng Việt",Xã
158,Bắc Ninh,Xuân Cẩm,"thị trấn Bắc Lý và các xã Hương Lâm, Mai Đình, Châu Minh, Xuân Cẩm",Xã
159,Bắc Ninh,Kinh Bắc,"các phường Suối Hoa, Tiền Ninh Vệ, Vạn An, Hòa Long, Khúc Xuyên và Kinh Bắc",Phường
160,Bắc Ninh,Võ Cường,"các phường Đại Phúc, Phong Khê và Võ Cường",Phường
161,Bắc Ninh,Vũ Ninh,"các phường Kim Chân, Đáp Cầu, Thị Cầu và Vũ Ninh",Phường
162,Bắc Ninh,Hạp Lĩnh,phường Khắc Niệm và phường Hạp Lĩnh,Phường
163,Bắc Ninh,Nam Sơn,phường Vân Dương và phường Nam Sơn,Phường
164,Bắc Ninh,Từ Sơn,"các phường Đông Ngàn, Tân Hồng, Phù Chẩn và Đình Bảng",Phường
165,Bắc Ninh,Tam Sơn,phường Tương Giang và phường Tam Sơn,Phường
166,Bắc Ninh,Đồng Nguyên,"các phường Trang Hạ, Đồng Kỵ và Đồng Nguyên",Phường
167,Bắc Ninh,Phù Khê,"các phường Châu Khê, Hương Mạc và Phù Khê",Phường
168,Bắc Ninh,Thuận Thành,"các phường Hồ, Song Hồ, Gia Đông và xã Đại Đồng Thành",Phường
169,Bắc Ninh,Mão Điền,"phường An Bình, xã Hoài Thượng và xã Mão Điền",Phường
170,Bắc Ninh,Trạm Lộ,phường Trạm Lộ và xã Nghĩa Đạo,Phường
171,Bắc Ninh,Trí Quả,"phường Thanh Khương, phường Trí Quả và xã Đình Tổ",Phường
172,Bắc Ninh,Song Liễu,"phường Xuân Lâm, phường Hà Mãn, xã Ngũ Thái và xã Song Liễu",Phường
173,Bắc Ninh,Ninh Xá,phường Ninh Xá và xã Nguyệt Đức,Phường
174,Bắc Ninh,Quế Võ,"các phường Phố Mới, Bằng An, Việt Hùng và Quế Tân",Phường
175,Bắc Ninh,Phương Liễu,phường Phượng Mao và phường Phương Liễu,Phường
176,Bắc Ninh,Nhân Hòa,"phường Đại Xuân, phường Nhân Hòa và xã Việt Thống",Phường
177,Bắc Ninh,Đào Viên,"phường Phù Lương, xã Ngọc Xá và xã Đào Viên",Phường
178,Bắc Ninh,Bồng Lai,"phường Cách Bi, phường Bồng Lai và xã Mộ Đạo",Phường
179,Bắc Ninh,Chũ,"các phường Thanh Hải, Hồng Giang, Trù Hựu và Chũ",Phường
180,Bắc Ninh,Phượng Sơn,"phường Phượng Sơn, xã Quý Sơn và xã Mỹ An",Phường
181,Bắc Ninh,Tự Lạn,"phường Tự Lạn và các xã Việt Tiến, Thượng Lan, Hương Mai",Phường
182,Bắc Ninh,Việt Yên,"phường Bích Động, phường Hồng Thái, xã Minh Đức và xã Nghĩa Trung",Phường
183,Bắc Ninh,Nếnh,"các phường Quang Châu, Vân Trung, Tăng Tiến và Nếnh",Phường
184,Bắc Ninh,Vân Hà,"phường Ninh Sơn, phường Quảng Minh và các xã Tiên Sơn,Trung Sơn, Vân Hà",Phường
185,Bắc Ninh,Bắc Giang,"các phường Thọ Xương, Ngô Quyền, Xương Giang, Hoàng Văn Thụ, Trần Phú, Dĩnh Kế và Dĩnh Trì",Phường
186,Bắc Ninh,Đa Mai,"các phường Tân Mỹ, Mỹ Độ, Song Mai, Đa Mai và xã Quế Nham",Phường
187,Bắc Ninh,Tiền Phong,"các phường Nội Hoàng, Song Khê, Đồng Sơn và Tiền Phong",Phường
188,Bắc Ninh,Tân An,"phường Tân An và các xã Quỳnh Sơn, Trí Yên, Lãng Sơn",Phường
189,Bắc Ninh,Yên Dũng,"phường Tân Liễu, phường Nham Biền và xã Yên Lư",Phường
190,Bắc Ninh,Tân Tiến,"phường Hương Gián, phường Tân Tiến và xã Xuân Phú",Phường
191,Bắc Ninh,Cảnh Thụy,"phường Cảnh Thụy, xã Tiến Dũng và xã Tư Mại",Phường
192,Cần Thơ,Ninh Kiều,"các phường Tân An, Thới Bình và Xuân Khánh",Phường
193,Cần Thơ,Cái Khế,"phường An Hòa, phường Cái Khế và một phần diện tích tự nhiên, quy mô dân số của phường Bùi Hữu Nghĩa",Phường
194,Cần Thơ,Tân An,phường An Khánh và phường Hưng Lợi,Phường
195,Cần Thơ,An Bình,"phường An Bình, xã Mỹ Khánh và một phần diện tích tự nhiên, quy mô dân số của phường Long Tuyền",Phường
196,Cần Thơ,Thới An Đông,"các phường Trà An, Trà Nóc và Thới An Đông",Phường
197,Cần Thơ,Bình Thủy,"phường An Thới, phường Bình Thủy và phần còn lại của phường Bùi Hữu Nghĩa sau khi sắp xếp theo quy định tại khoản 2 Điều này",Phường
198,Cần Thơ,Long Tuyền,phường Long Hòa và phần còn lại của phường Long Tuyền sau khi sắp xếp theo quy định tại khoản 4 Điều này,Phường
199,Cần Thơ,Cái Răng,"các phường Lê Bình, Thường Thạnh, Ba Láng và Hưng Thạnh",Phường
200,Cần Thơ,Hưng Phú,"các phường Tân Phú, Phú Thứ và Hưng Phú",Phường
201,Cần Thơ,Ô Môn,"các phường Châu Văn Liêm, Thới Hòa, Thới An và xã Thới Thạnh",Phường
202,Cần Thơ,Phước Thới,phường Trường Lạc và phường Phước Thới,Phường
203,Cần Thơ,Thới Long,"các phường Long Hưng, Tân Hưng và Thới Long",Phường
204,Cần Thơ,Trung Nhứt,"phường Thạnh Hòa, phường Trung Nhứt và xã Trung An",Phường
205,Cần Thơ,Thuận Hưng,"phường Trung Kiên, phường Thuận Hưng và một phần diện tích tự nhiên, quy mô dân số của phường Thốt Nốt",Phường
206,Cần Thơ,Thốt Nốt,"phường Thuận An (quận Thốt Nốt), phường Thới Thuận và phần còn lại của phường Thốt Nốt sau khi sắp xếp theo quy định tại khoản 14 Điều này",Phường
207,Cần Thơ,Vị Thanh,"Phường I, Phường III và Phường VII",Phường
208,Cần Thơ,Vị Tân,"Phường IV, Phường V và xã Vị Tân",Phường
209,Cần Thơ,Long Bình,"phường Bình Thạnh, phường Vĩnh Tường và xã Long Bình",Phường
210,Cần Thơ,Long Mỹ,"phường Thuận An (thị xã Long Mỹ), xã Long Trị và xã Long Trị A",Phường
211,Cần Thơ,Long Phú 1,"phường Trà Lồng, xã Tân Phú và xã Long Phú",Phường
212,Cần Thơ,Đại Thành,"phường Hiệp Lợi, xã Tân Thành và xã Đại Thành",Phường
213,Cần Thơ,Ngã Bảy,"các phường Lái Hiếu, Hiệp Thành và Ngã Bảy",Phường
214,Cần Thơ,Phú Lợi,"Phường 1, Phường 2 và Phường 3 (thành phố Sóc Trăng), Phường 4",Phường
215,Cần Thơ,Sóc Trăng,"Phường 5, Phường 6, Phường 7 và Phường 8",Phường
216,Cần Thơ,Mỹ Xuyên,"Phường 10, thị trấn Mỹ Xuyên và xã Đại Tâm",Phường
217,Cần Thơ,Vĩnh Phước,phường Vĩnh Phước và xã Vĩnh Tân,Phường
218,Cần Thơ,Vĩnh Châu,"Phường 1 và Phường 2 (thị xã Vĩnh Châu), xã Lạc Hòa",Phường
219,Cần Thơ,Khánh Hòa,"phường Khánh Hòa, xã Vĩnh Hiệp và xã Hòa Đông",Phường
220,Cần Thơ,Ngã Năm,"Phường 1 và Phường 2 (thị xã Ngã Năm), xã Vĩnh Quới",Phường
221,Cần Thơ,Mỹ Quới,"Phường 3 (thị xã Ngã Năm), xã Mỹ Bình và xã Mỹ Quới",Phường
222,Cần Thơ,Phong Điền,"thị trấn Phong Điền, xã Tân Thới và xã Giai Xuân",Xã
223,Cần Thơ,Nhơn Ái,xã Nhơn Nghĩa và xã Nhơn Ái,Xã
224,Cần Thơ,Thới Lai,"thị trấn Thới Lai, xã Thới Tân và xã Trường Thắng",Xã
225,Cần Thơ,Đông Thuận,xã Đông Bình và xã Đông Thuận,Xã
226,Cần Thơ,Trường Xuân,"các xã Trường Xuân A, Trường Xuân B và Trường Xuân",Xã
227,Cần Thơ,Trường Thành,"các xã Tân Thạnh, Định Môn và Trường Thành",Xã
228,Cần Thơ,Cờ Đỏ,"thị trấn Cờ Đỏ, xã Thới Đông và xã Thới Xuân",Xã
229,Cần Thơ,Đông Hiệp,"các xã Đông Thắng, Xuân Thắng và Đông Hiệp",Xã
230,Cần Thơ,Trung Hưng,xã Trung Thạnh và xã Trung Hưng,Xã
231,Cần Thơ,Vĩnh Thạnh,"thị trấn Vĩnh Thạnh, xã Thạnh Lộc và xã Thạnh Mỹ",Xã
232,Cần Thơ,Vĩnh Trinh,xã Vĩnh Bình và xã Vĩnh Trinh,Xã
233,Cần Thơ,Thạnh An,"thị trấn Thạnh An, xã Thạnh Lợi và xã Thạnh Thắng",Xã
234,Cần Thơ,Thạnh Quới,"các xã Thạnh Tiến, Thạnh An và Thạnh Quới",Xã
235,Cần Thơ,Hỏa Lựu,"các xã Tân Tiến, Hỏa Tiến và Hỏa Lựu",Xã
236,Cần Thơ,Vị Thủy,"thị trấn Nàng Mau, xã Vị Thắng và xã Vị Trung",Xã
237,Cần Thơ,Vĩnh Thuận Đông,"các xã Vĩnh Thuận Tây, Vị Thủy và Vĩnh Thuận Đông",Xã
238,Cần Thơ,Vị Thanh 1,"các xã Vị Đông, Vị Bình và Vị Thanh",Xã
239,Cần Thơ,Vĩnh Tường,xã Vĩnh Trung và xã Vĩnh Tường,Xã
240,Cần Thơ,Vĩnh Viễn,thị trấn Vĩnh Viễn và xã Vĩnh Viễn A,Xã
241,Cần Thơ,Xà Phiên,"các xã Thuận Hòa (huyện Long Mỹ), Thuận Hưng và Xà Phiên",Xã
242,Cần Thơ,Lương Tâm,xã Lương Nghĩa và xã Lương Tâm,Xã
243,Cần Thơ,Thạnh Xuân,"thị trấn Rạch Gòi, xã Tân Phú Thạnh và xã Thạnh Xuân",Xã
244,Cần Thơ,Tân Hòa,"thị trấn Một Ngàn, thị trấn Bảy Ngàn, xã Nhơn Nghĩa A và xã Tân Hòa",Xã
245,Cần Thơ,Trường Long Tây,xã Trường Long A và xã Trường Long Tây,Xã
246,Cần Thơ,Châu Thành,"thị trấn Mái Dầm, thị trấn Ngã Sáu và xã Đông Phú",Xã
247,Cần Thơ,Đông Phước,"thị trấn Cái Tắc, xã Đông Thạnh và xã Đông Phước A",Xã
248,Cần Thơ,Phú Hữu,"các xã Phú Tân, Đông Phước và Phú Hữu",Xã
249,Cần Thơ,Tân Bình,xã Bình Thành và xã Tân Bình,Xã
250,Cần Thơ,Hòa An,thị trấn Kinh Cùng và xã Hòa An,Xã
251,Cần Thơ,Phương Bình,xã Phương Phú và xã Phương Bình,Xã
252,Cần Thơ,Tân Phước Hưng,thị trấn Búng Tàu và xã Tân Phước Hưng,Xã
253,Cần Thơ,Hiệp Hưng,thị trấn Cây Dương và xã Hiệp Hưng,Xã
